#Thread	Original Vehicle	Seats	Cars	Bikes	Bicycles	Quadbikes	Planes	Helicopters	Blimps	Boats	Submarines	Submarine Cars	Trains	Trailers	Flags	Alternate Coordinates			Alt Coord Notes
#																X	Y	Z	
michael4	Stretch	4	Y	Y	N	Y	N	Y	N	Y	Y	Y	N	N					
michael4	Mesa3	4	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
agency_heist1	Tailgater	2	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
agency_heist1	Stanier	1	Y	Y	Y	Y	Y	Y	Y	N	Y	Y	Y	N	w=15.0+l=15.0+h=5.0				
agency_heist1	AllVehicles	2	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	w=15.0+l=15.0+h=15.0				
agency_heist2	Zion2	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	w=15.0+l=15.0+h=15.0				
agency_heist3a	Firetruk	4	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
agency_heist3b	Maverick	4	N	N	N	N	N	Y	Y	N	N	N	N	N	flying				
agency_heist3b	Buzzard	1	N	N	N	N	N	Y	N	N	N	N	N	N					
agency_heist3b	Burrito3	4	Y	Y	N	Y	Y	Y	Y	N	N	Y	N	N	w=15.0+l=15.0+h=15.0				
agency_heist3b	Ambulance	4	Y	Y	N	Y	Y	Y	Y	N	N	Y	N	N	w=15.0+l=15.0+h=15.0				
finalea	Buffalo2	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
finalea	Bodhi2	1	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	Y	N					
finaleb	Buffalo2	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
finaleb	Tailgater	1	Y	Y	Y	Y	N	N	N	Y	Y	Y	Y	N	w=15.0+l=15.0+h=15.0				
finalec1	Fbi2	4	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
finalec1	Mesa3	2	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
finalec1	Buzzard	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
finalec1	Bagger	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
finalec2	Bagger	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
finalec2	Tailgater	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
finalec2	Bodhi2	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
finalec2	Cavalcade	4	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
finalec2	Washington	4	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
finalec2	Tornado	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N	no_rotors				
assassin_valet	Fbi2	4	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
assassin_valet	Washington	2	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
assassin_valet	Taxi	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
assassin_multi	Marquis	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
assassin_multi	Bati	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
assassin_hooker	Peyote	2	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
assassin_hooker	Ruiner	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
assassin_hooker	Primo	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
assassin_hooker	Emperor2	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
assassin_bus	Bus	2	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	N					
assassin_bus	Scorcher	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N					
assassin_construction	Maverick	4	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
pilot_school	Cuban800	1	N	N	N	N	Y	N	Y	N	N	N	N	N	flying				
pilot_school	Stunt	1	N	N	N	N	Y	N	Y	N	N	N	N	N	flying				
pilot_school	Frogger	1	N	N	N	N	Y	Y	Y	N	N	N	N	N	flying				
traffick_air	Cuban800	1	N	N	N	N	Y	Y	N	N	N	N	N	N	w=17.0+l=15.0+h=6.0+flying	-14	28	0	
traffick_air	Squalo	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
traffick_ground	Dune	1	Y	Y	Y	Y	Y	Y	N	N	N	Y	N	N					
drf5	Comet2	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
abigail1	Submersible	1	N	N	N	N	N	N	N	N	Y	N	N	N					
abigail1	Submersible2	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
abigail1	Dinghy	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
launcher_abigail	Submersible	1	N	N	N	N	N	N	N	N	Y	N	N	N					
launcher_abigail	Submersible2	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
launcher_abigail	Dinghy	1	N	N	N	N	N	N	N	Y	Y	N	N	N					
barry3a	Dloader	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
barry3c	Emperor2	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
barry3c	Towtruck	1	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
launcher_barry	Emperor2	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
launcher_barry	Towtruck	1	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
paparazzo1	Pcj	2	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
paparazzo1	Stretch	4	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
paparazzo2	Fq2	4	Y	Y	Y	Y	N	Y	Y	Y	Y	Y	Y	N	w=20.0+l=20.0+h=20.0				
paparazzo2	Rapidgt2	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
paparazzo2	Landstalker	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
paparazzo3a	Cogcabrio	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
paparazzo3a	Police3	4	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
paparazzo3b	Landstalker	4	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
minute1	Pranger	4	Y	Y	N	Y	Y	Y	N	N	N	Y	N	N					
minute1	Tornado4	2	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
minute2	Pranger	4	Y	Y	N	Y	Y	Y	N	N	N	Y	N	N					
minute2	Blazer	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N					
minute2	Sanchez	1	Y	Y	Y	Y	N	N	N	N	N	Y	N	N					
minute3	Tractor2	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
extreme1	Maverick	4	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
extreme1	Scorcher	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
extreme2	Blazer	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
extreme2	Cargoplane	1	N	N	N	N	N	N	N	N	N	N	N	N					
extreme3	Flatbed	1	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	N					
josh2	Comet2	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
fanatic2	Scorcher	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
fanatic2	Tribike	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
fanatic3	Scorcher	1	Y	Y	Y	Y	Y	Y	Y	N	N	Y	N	N					
nigel2	Premier	4	Y	Y	N	Y	N	Y	N	N	N	Y	N	N					
nigel2	Dubsta	1	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N					
nigel3	Premier	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
tonya1	Towtruck	2	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
tonya1	Primo	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
tonya2	Towtruck	2	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
tonya2	Landstalker	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
tonya3	Towtruck	2	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
tonya3	Schwarzer	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
tonya4	Towtruck	2	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
tonya4	Tailgater	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
tonya5	Towtruck	2	Y	N	N	N	N	N	N	N	N	N	N	N	can_tow				
tonya5	Intruder	1	Y	N	N	N	N	N	N	N	N	Y	N	N					
offroad_races	Blazer	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
offroad_races	Sanchez	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
launcher_offroadracing	Blazer	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
launcher_offroadracing	Sanchez	1	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N					
stunt_plane_races	Stunt	1	N	N	N	N	Y	Y	N	N	N	N	N	N	flying				
launcher_stunts	Stunt	1	N	N	N	N	Y	Y	N	N	N	N	N	N	flying				
